token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
45534,NIFTY10MAR2624900PE,NIFTY,10MAR2026,2490000.000000,65,OPTIDX,NFO,5.000000
45535,NIFTY10MAR2624950CE,NIFTY,10MAR2026,2495000.000000,65,OPTIDX,NFO,5.000000
45539,NIFTY10MAR2625000CE,NIFTY,10MAR2026,2500000.000000,65,OPTIDX,NFO,5.000000
45579,NIFTY10MAR2625650CE,NIFTY,10MAR2026,2565000.000000,65,OPTIDX,NFO,5.000000
45632,NIFTY10MAR2625950PE,NIFTY,10MAR2026,2595000.000000,65,OPTIDX,NFO,5.000000
45661,NIFTY10MAR2626350CE,NIFTY,10MAR2026,2635000.000000,65,OPTIDX,NFO,5.000000
45675,NIFTY10MAR2626500CE,NIFTY,10MAR2026,2650000.000000,65,OPTIDX,NFO,5.000000
45682,NIFTY10MAR2626650PE,NIFTY,10MAR2026,2665000.000000,65,OPTIDX,NFO,5.000000
45699,NIFTY10MAR2626800CE,NIFTY,10MAR2026,2680000.000000,65,OPTIDX,NFO,5.000000
45736,NIFTY10MAR2627350PE,NIFTY,10MAR2026,2735000.000000,65,OPTIDX,NFO,5.000000
45739,NIFTY10MAR2627450CE,NIFTY,10MAR2026,2745000.000000,65,OPTIDX,NFO,5.000000
45748,NIFTY10MAR2627600CE,NIFTY,10MAR2026,2760000.000000,65,OPTIDX,NFO,5.000000
53628,NIFTY28DEC2726000CE,NIFTY,28DEC2027,2600000.000000,65,OPTIDX,NFO,5.000000
53631,NIFTY28DEC2727000CE,NIFTY,28DEC2027,2700000.000000,65,OPTIDX,NFO,5.000000
54507,NIFTY30MAR2623200PE,NIFTY,30MAR2026,2320000.000000,65,OPTIDX,NFO,5.000000
54517,NIFTY30MAR2623450PE,NIFTY,30MAR2026,2345000.000000,65,OPTIDX,NFO,5.000000
54518,NIFTY30MAR2623500CE,NIFTY,30MAR2026,2350000.000000,65,OPTIDX,NFO,5.000000
54526,NIFTY30MAR2623700CE,NIFTY,30MAR2026,2370000.000000,65,OPTIDX,NFO,5.000000
54528,NIFTY30MAR2623750CE,NIFTY,30MAR2026,2375000.000000,65,OPTIDX,NFO,5.000000
54529,NIFTY30MAR2623750PE,NIFTY,30MAR2026,2375000.000000,65,OPTIDX,NFO,5.000000
54536,NIFTY30MAR2623950CE,NIFTY,30MAR2026,2395000.000000,65,OPTIDX,NFO,5.000000
54540,NIFTY30MAR2624100CE,NIFTY,30MAR2026,2410000.000000,65,OPTIDX,NFO,5.000000
54554,NIFTY30MAR2624450CE,NIFTY,30MAR2026,2445000.000000,65,OPTIDX,NFO,5.000000
